county,labor_force,employed,unemployed,unemployed_pct
"Adams County, ID",1758,1594,164,9.3     
"Bannock County, ID",42560,40495,2065,4.9     
"Bear Lake County, ID",3075,2946,129,4.2     
"Benewah County, ID",4140,3830,310,7.5     
"Bingham County, ID",23776,22860,916,3.9     
"Blaine County, ID",12666,11679,987,7.8     
"Boise County, ID",3609,3321,288,8.0     
"Bonner County, ID",21119,19527,1592,7.5     
"Bonneville County, ID",58136,55789,2347,4.0     
"Boundary County, ID",5502,5163,339,6.2     
"Butte County, ID",1393,1343,50,3.6     
"Camas County, ID",684,651,33,4.8     
"Canyon County, ID",105981,99763,6218,5.9     
"Caribou County, ID",4110,3962,148,3.6     
"Cassia County, ID",12384,11930,454,3.7     
"Clark County, ID",378,363,15,4.0     
"Clearwater County, ID",3021,2772,249,8.2     
"Custer County, ID",2218,2106,112,5.0     
"Elmore County, ID",11897,11321,576,4.8     
"Franklin County, ID",7060,6807,253,3.6     
"Fremont County, ID",7894,7606,288,3.6     
"Gem County, ID",8422,7924,498,5.9     
"Gooding County, ID",8256,7944,312,3.8     
"Idaho County, ID",6709,6260,449,6.7     
"Jefferson County, ID",14142,13659,483,3.4     
"Jerome County, ID",12198,11711,487,4.0     
"Kootenai County, ID",81286,75654,5632,6.9     
"Latah County, ID",19756,18818,938,4.7     
"Lemhi County, ID",3651,3408,243,6.7     
"Lewis County, ID",1662,1534,128,7.7     
